検索日付,No.,地域,施設,月日,供用区分,予約
2026-01-28,1,熱田区,市体育館競技場,１月２８日,０９：００－１２：００（午前）,
2026-01-28,2,西区,枇杷島ＳＣ第１競技場,１月２８日,１２：００－１５：００（午後１）,
2026-01-28,3,守山区,志段味ＳＬ競技場,１月２８日,１２：００－１５：００（午後１）,
2026-01-28,4,守山区,志段味ＳＬ競技場,１月２８日,１５：００－１８：００（午後２）,
2026-01-29,1,中川区,露橋ＳＣ競技場,１月２９日,０９：００－１２：００（午前）,
2026-01-29,2,緑区,緑ＳＣ第１競技場,１月２９日,０９：００－１２：００（午前）,
2026-01-29,3,守山区,守山ＳＣ第１競技場,１月２９日,０９：００－１２：００（午前）,
2026-01-29,4,守山区,守山ＳＣ第１競技場,１月２９日,１２：００－１５：００（午後１）,
2026-02-03,1,熱田区,市体育館競技場,２月３日,１５：００－１８：００（午後２）,
2026-02-04,1,熱田区,市体育館競技場,２月４日,１２：００－１５：００（午後１）,
2026-02-04,2,天白区,天白ＳＣ第１競技場,２月４日,０９：００－１２：００（午前）,
2026-02-04,3,東区,東ＳＣ第１競技場,２月４日,０９：００－１２：００（午前）,
2026-02-13,1,守山区,志段味ＳＬ競技場,２月１３日,１２：００－１５：００（午後１）,
2026-02-18,1,緑区,緑ＳＣ第１競技場,２月１８日,１５：００－１８：００（午後２）,
2026-02-18,2,守山区,志段味ＳＬ競技場,２月１８日,０９：００－１２：００（午前）,
